Row Labels,Monetory,Frequency,Max of InvoiceDate,Current Date,Recency,Monetory Score,Frequency Score,Recency Score,RFM ,RFM Score,Segment Name,,,,
13349,247.32,16,29-11-2011,09-12-2011,10,2,2,9,13,4,At Risk/ Need Attention,,,,
13350,910.72,43,23-11-2011,09-12-2011,16,6,5,8,19,6,Loyal customer,,,,
13351,373.94,16,04-10-2011,09-12-2011,66,3,2,5,10,3,At Risk/ Need Attention,,,,
13352,389.28,27,02-12-2011,09-12-2011,7,3,3,9,15,5,Loyal customer,,,,
13354,743.53,51,29-09-2011,09-12-2011,71,5,5,5,15,5,Loyal customer,,,,
13355,674.7,32,09-08-2011,09-12-2011,122,5,4,3,12,3,At Risk/ Need Attention,,,,
13356,768.24,42,20-09-2011,09-12-2011,80,5,4,4,13,4,At Risk/ Need Attention,,,,
13357,609.95,90,27-03-2011,09-12-2011,257,4,7,2,13,4,At Risk/ Need Attention,,,,
13358,439.03,29,16-03-2011,09-12-2011,268,3,3,1,7,1,At Risk/ Need Attention,,,,
13359,431.26,24,11-10-2011,09-12-2011,59,3,3,5,11,3,At Risk/ Need Attention,,,,
13362,3085.49,169,06-12-2011,09-12-2011,3,8,8,10,26,9,Top Customer,,,,
13363,992.5,60,22-11-2011,09-12-2011,17,6,6,8,20,7,Loyal customer,,,,
13364,2.13E-14,20,04-10-2011,09-12-2011,66,0,2,5,7,1,At Risk/ Need Attention,,,,
13365,2191.22,132,01-12-2011,09-12-2011,8,8,8,9,25,8,Top Customer,,,,
13366,56.16,1,20-10-2011,09-12-2011,50,0,0,6,6,1,At Risk/ Need Attention,,,,
13368,623.4,29,28-03-2011,09-12-2011,256,4,3,2,9,2,At Risk/ Need Attention,,,,
13369,263.75,19,20-12-2010,09-12-2011,354,2,2,1,5,0,immediate Attention,,,,
13370,721.32,44,08-12-2010,09-12-2011,366,5,5,1,11,3,At Risk/ Need Attention,,,,
13372,378.64,23,11-09-2011,09-12-2011,89,3,3,4,10,3,At Risk/ Need Attention,,,,
13373,3312.25,158,10-10-2011,09-12-2011,60,8,8,5,21,7,Loyal customer,,,,
13375,772.9,38,19-09-2011,09-12-2011,81,5,4,4,13,4,At Risk/ Need Attention,,,,
13376,1019.76,53,01-09-2011,09-12-2011,99,6,5,4,15,5,Loyal customer,,,,
13379,572.56,97,13-11-2011,09-12-2011,26,4,7,7,18,6,Loyal customer,,,,
13381,3626.81,173,18-11-2011,09-12-2011,21,9,8,8,25,8,Top Customer,,,,
13382,222.99,15,04-03-2011,09-12-2011,280,1,2,1,4,0,immediate Attention,,,,
13384,4122.28,155,09-11-2011,09-12-2011,30,9,8,7,24,8,Top Customer,,,,
13385,534.57,35,14-01-2011,09-12-2011,329,4,4,1,9,2,At Risk/ Need Attention,,,,
13388,627.15,36,10-08-2011,09-12-2011,121,4,4,3,11,3,At Risk/ Need Attention,,,,
13389,797.96,51,28-11-2011,09-12-2011,11,5,5,9,19,6,Loyal customer,,,,
13390,544.08,13,26-09-2011,09-12-2011,74,4,1,4,9,2,At Risk/ Need Attention,,,,
13391,59.8,1,20-05-2011,09-12-2011,203,0,0,2,2,0,immediate Attention,,,,
13394,2312.8,164,08-12-2011,09-12-2011,1,8,8,10,26,9,Top Customer,,,,
13395,307.72,21,07-06-2011,09-12-2011,185,2,2,2,6,1,At Risk/ Need Attention,,,,
13396,1325.29,47,18-11-2011,09-12-2011,21,7,5,8,20,7,Loyal customer,,,,
13397,1539.18,39,28-09-2011,09-12-2011,72,7,4,4,15,5,Loyal customer,,,,
13398,457.34,26,31-05-2011,09-12-2011,192,3,3,2,8,2,At Risk/ Need Attention,,,,
13402,621.23,39,04-08-2011,09-12-2011,127,4,4,3,11,3,At Risk/ Need Attention,,,,
13403,75,3,22-11-2011,09-12-2011,17,0,0,8,8,2,At Risk/ Need Attention,,,,
13404,252.49,11,08-12-2011,09-12-2011,1,2,1,10,13,4,At Risk/ Need Attention,,,,
13405,572.451,27,26-09-2011,09-12-2011,74,4,3,4,11,3,At Risk/ Need Attention,,,,
13408,27487.41,501,08-12-2011,09-12-2011,1,9,9,10,28,9,Top Customer,,,,
13410,988.91,30,01-12-2011,09-12-2011,8,6,4,9,19,6,Loyal customer,,,,
13411,213.55,18,24-08-2011,09-12-2011,107,1,2,4,7,1,At Risk/ Need Attention,,,,
13414,1390.5,24,29-07-2011,09-12-2011,133,7,3,3,13,4,At Risk/ Need Attention,,,,
13416,712.5,19,27-10-2011,09-12-2011,43,5,2,6,13,4,At Risk/ Need Attention,,,,
13417,640.83,28,05-12-2011,09-12-2011,4,4,3,10,17,5,Loyal customer,,,,
13418,5845.44,314,28-11-2011,09-12-2011,11,9,9,9,27,9,Top Customer,,,,
13419,221.06,16,07-10-2011,09-12-2011,63,1,2,5,8,2,At Risk/ Need Attention,,,,
13420,140.35,10,28-07-2011,09-12-2011,134,0,1,3,4,0,immediate Attention,,,,
13421,1848.98,105,30-10-2011,09-12-2011,40,7,7,6,20,7,Loyal customer,,,,
13422,2601.55,128,19-10-2011,09-12-2011,51,8,8,5,21,7,Loyal customer,,,,
13425,1624.21,78,23-08-2011,09-12-2011,108,7,6,4,17,5,Loyal customer,,,,
13426,3550.7,159,09-12-2011,09-12-2011,0,9,8,10,27,9,Top Customer,,,,
13427,582.6,29,20-11-2011,09-12-2011,19,4,3,8,15,5,Loyal customer,,,,
13428,218.47,74,29-11-2011,09-12-2011,10,1,6,9,16,5,Loyal customer,,,,
13429,1006.8,67,29-11-2011,09-12-2011,10,6,6,9,21,7,Loyal customer,,,,
13430,648.69,54,21-11-2011,09-12-2011,18,5,5,8,18,6,Loyal customer,,,,
13431,1269.1,46,03-10-2011,09-12-2011,67,6,5,5,16,5,Loyal customer,,,,
13434,534.24,10,26-09-2011,09-12-2011,74,4,1,4,9,2,At Risk/ Need Attention,,,,
13435,3794.49,103,04-12-2011,09-12-2011,5,9,7,9,25,8,Top Customer,,,,
13436,196.89,12,08-12-2011,09-12-2011,1,1,1,10,12,3,At Risk/ Need Attention,,,,
13437,3408.06,167,25-11-2011,09-12-2011,14,8,8,8,24,8,Top Customer,,,,
13439,283.71,54,29-03-2011,09-12-2011,255,2,5,2,9,2,At Risk/ Need Attention,,,,
13441,296.64,13,09-09-2011,09-12-2011,91,2,1,4,7,1,At Risk/ Need Attention,,,,
13447,1104.23,62,16-11-2011,09-12-2011,23,6,6,7,19,6,Loyal customer,,,,
13448,3465.67,199,23-11-2011,09-12-2011,16,8,8,8,24,8,Top Customer,,,,
13449,291.88,19,16-11-2011,09-12-2011,23,2,2,7,11,3,At Risk/ Need Attention,,,,
13450,2043.72,71,13-11-2011,09-12-2011,26,8,6,7,21,7,Loyal customer,,,,
13451,2916.45,444,13-11-2011,09-12-2011,26,8,9,7,24,8,Top Customer,,,,
13452,590,2,25-03-2011,09-12-2011,259,4,0,2,6,1,At Risk/ Need Attention,,,,
13453,356.98,17,27-06-2011,09-12-2011,165,3,2,3,8,2,At Risk/ Need Attention,,,,
13455,1007.35,53,15-11-2011,09-12-2011,24,6,5,7,18,6,Loyal customer,,,,
13456,1737.82,65,22-11-2011,09-12-2011,17,7,6,8,21,7,Loyal customer,,,,
13458,9537.92,394,02-12-2011,09-12-2011,7,9,9,9,27,9,Top Customer,,,,
13460,183.44,17,10-11-2011,09-12-2011,29,1,2,7,10,3,At Risk/ Need Attention,,,,
13461,1445,27,01-11-2011,09-12-2011,38,7,3,6,16,5,Loyal customer,,,,
13462,143.25,10,09-06-2011,09-12-2011,183,0,1,2,3,0,immediate Attention,,,,
13464,674.68,41,12-10-2011,09-12-2011,58,5,4,5,14,4,At Risk/ Need Attention,,,,
13466,297.95,18,31-08-2011,09-12-2011,100,2,2,4,8,2,At Risk/ Need Attention,,,,
13467,1083.71,99,29-11-2011,09-12-2011,10,6,7,9,22,7,Loyal customer,,,,
13468,5656.75,306,08-12-2011,09-12-2011,1,9,9,10,28,9,Top Customer,,,,
13470,165,10,01-09-2011,09-12-2011,99,1,1,4,6,1,At Risk/ Need Attention,,,,
13471,2531.58,260,08-12-2011,09-12-2011,1,8,9,10,27,9,Top Customer,,,,
13473,417.54,22,10-10-2011,09-12-2011,60,3,3,5,11,3,At Risk/ Need Attention,,,,
13474,229.59,64,17-04-2011,09-12-2011,236,1,6,2,9,2,At Risk/ Need Attention,,,,
13475,1431.78,86,01-06-2011,09-12-2011,191,7,7,2,16,5,Loyal customer,,,,
13476,1092.77,61,14-06-2011,09-12-2011,178,6,6,3,15,5,Loyal customer,,,,
13477,1441.53,81,02-11-2011,09-12-2011,37,7,6,6,19,6,Loyal customer,,,,
13479,291,16,25-05-2011,09-12-2011,198,2,2,2,6,1,At Risk/ Need Attention,,,,
13481,1776.81,112,25-10-2011,09-12-2011,45,7,7,6,20,7,Loyal customer,,,,
13482,184.64,11,21-04-2011,09-12-2011,232,1,1,2,4,0,immediate Attention,,,,
13483,140.34,10,05-10-2011,09-12-2011,65,0,1,5,6,1,At Risk/ Need Attention,,,,
13484,313.8,8,12-04-2011,09-12-2011,241,2,1,2,5,0,immediate Attention,,,,
13485,454.24,23,20-04-2011,09-12-2011,233,3,3,2,8,2,At Risk/ Need Attention,,,,
13486,1122.41,69,22-09-2011,09-12-2011,78,6,6,4,16,5,Loyal customer,,,,
13487,575.4,34,13-10-2011,09-12-2011,57,4,4,5,13,4,At Risk/ Need Attention,,,,
13488,8910.61,427,22-11-2011,09-12-2011,17,9,9,8,26,9,Top Customer,,,,
13489,449.52,14,26-08-2011,09-12-2011,105,3,1,4,8,2,At Risk/ Need Attention,,,,
13491,1215.82,86,19-10-2011,09-12-2011,51,6,7,5,18,6,Loyal customer,,,,
13492,1269.84,50,26-07-2011,09-12-2011,136,6,5,3,14,4,At Risk/ Need Attention,,,,
13493,618.63,8,09-03-2011,09-12-2011,275,4,1,1,6,1,At Risk/ Need Attention,,,,
13494,316.26,18,01-02-2011,09-12-2011,311,2,2,1,5,0,immediate Attention,,,,
13495,1990.12,52,02-12-2011,09-12-2011,7,7,5,9,21,7,Loyal customer,,,,
13496,617.93,36,29-11-2011,09-12-2011,10,4,4,9,17,5,Loyal customer,,,,
13497,321.05,20,02-03-2011,09-12-2011,282,2,2,1,5,0,immediate Attention,,,,
13499,1146.96,45,22-11-2011,09-12-2011,17,6,5,8,19,6,Loyal customer,,,,
13500,1136.77,67,16-11-2011,09-12-2011,23,6,6,7,19,6,Loyal customer,,,,
13501,1310.47,53,11-04-2011,09-12-2011,242,6,5,2,13,4,At Risk/ Need Attention,,,,
13502,292,18,23-11-2011,09-12-2011,16,2,2,8,12,3,At Risk/ Need Attention,,,,
13503,216.85,17,29-09-2011,09-12-2011,71,1,2,5,8,2,At Risk/ Need Attention,,,,
13504,295.93,22,06-10-2011,09-12-2011,64,2,3,5,10,3,At Risk/ Need Attention,,,,
13505,4282.88,227,03-10-2011,09-12-2011,67,9,9,5,23,8,Top Customer,,,,
13506,452.82,29,31-01-2011,09-12-2011,312,3,3,1,7,1,At Risk/ Need Attention,,,,
13507,2479.16,162,06-12-2011,09-12-2011,3,8,8,10,26,9,Top Customer,,,,
13508,110.97,12,10-04-2011,09-12-2011,243,0,1,2,3,0,immediate Attention,,,,
13509,979.72,44,01-12-2011,09-12-2011,8,6,5,9,20,7,Loyal customer,,,,
13510,1785.16,117,08-12-2011,09-12-2011,1,7,7,10,24,8,Top Customer,,,,
13512,251.21,15,24-03-2011,09-12-2011,260,2,2,2,6,1,At Risk/ Need Attention,,,,
13513,205.1,10,05-08-2011,09-12-2011,126,1,1,3,5,0,immediate Attention,,,,
13514,152.2,4,27-09-2011,09-12-2011,73,1,0,4,5,0,immediate Attention,,,,
13515,891.12,59,28-09-2011,09-12-2011,72,5,6,4,15,5,Loyal customer,,,,
13516,1389.41,44,18-11-2011,09-12-2011,21,7,5,8,20,7,Loyal customer,,,,
13517,2109.07,143,11-10-2011,09-12-2011,59,8,8,5,21,7,Loyal customer,,,,
13518,659.44,38,15-09-2011,09-12-2011,85,5,4,4,13,4,At Risk/ Need Attention,,,,
13519,110.8,9,20-10-2011,09-12-2011,50,0,1,6,7,1,At Risk/ Need Attention,,,,
13520,3487.75,95,12-10-2011,09-12-2011,58,8,7,5,20,7,Loyal customer,,,,
13521,1093.65,436,08-12-2011,09-12-2011,1,6,9,10,25,8,Top Customer,,,,
13522,125.8,5,09-11-2011,09-12-2011,30,0,0,7,7,1,At Risk/ Need Attention,,,,
13523,3755.38,177,06-11-2011,09-12-2011,33,9,8,6,23,8,Top Customer,,,,
13524,680.18,27,30-10-2011,09-12-2011,40,5,3,6,14,4,At Risk/ Need Attention,,,,
13525,628.78,6,25-11-2011,09-12-2011,14,4,0,8,12,3,At Risk/ Need Attention,,,,
13527,2263.76,224,06-11-2011,09-12-2011,33,8,9,6,23,8,Top Customer,,,,
13529,307.76,15,22-09-2011,09-12-2011,78,2,2,4,8,2,At Risk/ Need Attention,,,,
13531,483.8,22,18-05-2011,09-12-2011,205,4,3,2,9,2,At Risk/ Need Attention,,,,
13532,210.31,66,06-11-2011,09-12-2011,33,1,6,6,13,4,At Risk/ Need Attention,,,,
13533,270.79,76,10-06-2011,09-12-2011,182,2,6,2,10,3,At Risk/ Need Attention,,,,
13534,5613.08,342,07-12-2011,09-12-2011,2,9,9,10,28,9,Top Customer,,,,
13536,3448.29,179,08-12-2011,09-12-2011,1,8,8,10,26,9,Top Customer,,,,
13538,1280.85,25,27-10-2011,09-12-2011,43,6,3,6,15,5,Loyal customer,,,,
13539,605.84,38,15-09-2011,09-12-2011,85,4,4,4,12,3,At Risk/ Need Attention,,,,
13544,291.41,87,31-10-2011,09-12-2011,39,2,7,6,15,5,Loyal customer,,,,
13546,626.99,98,27-11-2011,09-12-2011,12,4,7,8,19,6,Loyal customer,,,,
13548,682.41,124,04-09-2011,09-12-2011,96,5,7,4,16,5,Loyal customer,,,,
13549,916.12,52,14-11-2011,09-12-2011,25,6,5,7,18,6,Loyal customer,,,,
13551,91.8,4,24-01-2011,09-12-2011,319,0,0,1,1,0,immediate Attention,,,,
13552,3539.53,121,04-10-2011,09-12-2011,66,9,7,5,21,7,Loyal customer,,,,
13555,4149.28,136,27-09-2011,09-12-2011,73,9,8,4,21,7,Loyal customer,,,,
13557,584.06,34,11-11-2011,09-12-2011,28,4,4,7,15,5,Loyal customer,,,,
13558,605.06,175,04-12-2011,09-12-2011,5,4,8,9,21,7,Loyal customer,,,,
13560,174.37,33,02-12-2011,09-12-2011,7,1,4,9,14,4,At Risk/ Need Attention,,,,
13561,141.86,14,08-05-2011,09-12-2011,215,0,1,2,3,0,immediate Attention,,,,
13562,1799.33,82,19-09-2011,09-12-2011,81,7,6,4,17,5,Loyal customer,,,,
13563,777.53,49,16-09-2011,09-12-2011,84,5,5,4,14,4,At Risk/ Need Attention,,,,
13564,647.74,85,18-07-2011,09-12-2011,144,4,6,3,13,4,At Risk/ Need Attention,,,,
13565,240.22,38,20-11-2011,09-12-2011,19,2,4,8,14,4,At Risk/ Need Attention,,,,
13566,874.71,176,30-10-2011,09-12-2011,40,5,8,6,19,6,Loyal customer,,,,
13568,192.85,44,19-06-2011,09-12-2011,173,1,5,3,9,2,At Risk/ Need Attention,,,,
13569,373.75,85,22-11-2011,09-12-2011,17,3,6,8,17,5,Loyal customer,,,,
13570,239.49,27,10-04-2011,09-12-2011,243,2,3,2,7,1,At Risk/ Need Attention,,,,
13571,2092.32,341,27-11-2011,09-12-2011,12,8,9,8,25,8,Top Customer,,,,
13572,1384.25,33,18-05-2011,09-12-2011,205,7,4,2,13,4,At Risk/ Need Attention,,,,
13573,294.4,26,20-10-2011,09-12-2011,50,2,3,6,11,3,At Risk/ Need Attention,,,,
13575,732.07,46,16-11-2011,09-12-2011,23,5,5,7,17,5,Loyal customer,,,,
13576,6703.3,130,29-11-2011,09-12-2011,10,9,8,9,26,9,Top Customer,,,,
13577,1658.3,85,14-11-2011,09-12-2011,25,7,6,7,20,7,Loyal customer,,,,
13579,467.04,23,25-11-2011,09-12-2011,14,4,3,8,15,5,Loyal customer,,,,
13581,118,10,03-02-2011,09-12-2011,309,0,1,1,2,0,immediate Attention,,,,
13583,781.03,53,07-07-2011,09-12-2011,155,5,5,3,13,4,At Risk/ Need Attention,,,,
13584,142.4,24,06-02-2011,09-12-2011,306,0,3,1,4,0,immediate Attention,,,,
13587,347,11,08-11-2011,09-12-2011,31,3,1,7,11,3,At Risk/ Need Attention,,,,
13588,2445.12,180,24-11-2011,09-12-2011,15,8,8,8,24,8,Top Customer,,,,
13589,379.65,21,25-11-2011,09-12-2011,14,3,2,8,13,4,At Risk/ Need Attention,,,,
13590,1976.12,89,28-11-2011,09-12-2011,11,7,7,9,23,8,Top Customer,,,,
13591,1117.13,58,06-10-2011,09-12-2011,64,6,5,5,16,5,Loyal customer,,,,
13592,247.96,16,04-11-2011,09-12-2011,35,2,2,6,10,3,At Risk/ Need Attention,,,,
13593,1990.28,129,23-08-2011,09-12-2011,108,7,8,4,19,6,Loyal customer,,,,
13594,396.97,26,18-10-2011,09-12-2011,52,3,3,5,11,3,At Risk/ Need Attention,,,,
13596,697.04,166,04-12-2011,09-12-2011,5,5,8,9,22,7,Loyal customer,,,,
13598,167.42,41,23-10-2011,09-12-2011,47,1,4,6,11,3,At Risk/ Need Attention,,,,
13599,5030.6,264,08-12-2011,09-12-2011,1,9,9,10,28,9,Top Customer,,,,
13600,219.52,19,31-01-2011,09-12-2011,312,1,2,1,4,0,immediate Attention,,,,
13601,693.32,99,25-10-2011,09-12-2011,45,5,7,6,18,6,Loyal customer,,,,
13602,428.89,23,06-10-2011,09-12-2011,64,3,3,5,11,3,At Risk/ Need Attention,,,,
13603,164.34,27,13-11-2011,09-12-2011,26,1,3,7,11,3,At Risk/ Need Attention,,,,
13606,280.54,43,10-11-2011,09-12-2011,29,2,5,7,14,4,At Risk/ Need Attention,,,,
13607,678.01,98,30-10-2011,09-12-2011,40,5,7,6,18,6,Loyal customer,,,,
13610,1115.43,228,27-11-2011,09-12-2011,12,6,9,8,23,8,Top Customer,,,,
13611,1158.2,76,11-09-2011,09-12-2011,89,6,6,4,16,5,Loyal customer,,,,
13614,1610.46,201,15-11-2011,09-12-2011,24,7,8,7,22,7,Loyal customer,,,,
13615,399.99,24,31-01-2011,09-12-2011,312,3,3,1,7,1,At Risk/ Need Attention,,,,
13617,544.18,44,30-10-2011,09-12-2011,40,4,5,6,15,5,Loyal customer,,,,
13618,177.34,13,19-06-2011,09-12-2011,173,1,1,3,5,0,immediate Attention,,,,
13621,213.85,19,15-08-2011,09-12-2011,116,1,2,3,6,1,At Risk/ Need Attention,,,,
13623,672.44,86,09-11-2011,09-12-2011,30,5,7,7,19,6,Loyal customer,,,,
13626,257.23,19,01-04-2011,09-12-2011,252,2,2,2,6,1,At Risk/ Need Attention,,,,
13627,1624.02,94,11-10-2011,09-12-2011,59,7,7,5,19,6,Loyal customer,,,,
13629,7792.36,59,16-11-2011,09-12-2011,23,9,6,7,22,7,Loyal customer,,,,
13630,1995.68,80,04-12-2011,09-12-2011,5,7,6,9,22,7,Loyal customer,,,,
13631,3021.77,12,01-09-2011,09-12-2011,99,8,1,4,13,4,At Risk/ Need Attention,,,,
13632,2117.02,147,15-11-2011,09-12-2011,24,8,8,7,23,8,Top Customer,,,,
13634,1575.16,188,06-11-2011,09-12-2011,33,7,8,6,21,7,Loyal customer,,,,
13635,1071.03,62,03-10-2011,09-12-2011,67,6,6,5,17,5,Loyal customer,,,,
13636,941.62,64,03-11-2011,09-12-2011,36,6,6,6,18,6,Loyal customer,,,,
13637,810.5,101,18-10-2011,09-12-2011,52,5,7,5,17,5,Loyal customer,,,,
13638,122.64,8,24-11-2011,09-12-2011,15,0,1,8,9,2,At Risk/ Need Attention,,,,
13639,1033.34,40,26-09-2011,09-12-2011,74,6,4,4,14,4,At Risk/ Need Attention,,,,
13642,354.8,66,08-05-2011,09-12-2011,215,3,6,2,11,3,At Risk/ Need Attention,,,,
13643,519.44,28,08-11-2011,09-12-2011,31,4,3,7,14,4,At Risk/ Need Attention,,,,
13644,2597.52,148,01-12-2011,09-12-2011,8,8,8,9,25,8,Top Customer,,,,
13645,252.1,5,11-08-2011,09-12-2011,120,2,0,3,5,0,immediate Attention,,,,
13647,1670.22,80,30-11-2011,09-12-2011,9,7,6,9,22,7,Loyal customer,,,,
13649,346.6,23,28-03-2011,09-12-2011,256,3,3,2,8,2,At Risk/ Need Attention,,,,
13650,1809.34,98,23-11-2011,09-12-2011,16,7,7,8,22,7,Loyal customer,,,,
13651,94.2,6,04-11-2011,09-12-2011,35,0,0,6,6,1,At Risk/ Need Attention,,,,
13652,1095.08,63,25-10-2011,09-12-2011,45,6,6,6,18,6,Loyal customer,,,,
13654,2707.33,166,27-10-2011,09-12-2011,43,8,8,6,22,7,Loyal customer,,,,
13655,932.97,56,17-08-2011,09-12-2011,114,6,5,3,14,4,At Risk/ Need Attention,,,,
13656,379.65,49,28-06-2011,09-12-2011,164,3,5,3,11,3,At Risk/ Need Attention,,,,
13657,382.14,16,29-11-2011,09-12-2011,10,3,2,9,14,4,At Risk/ Need Attention,,,,
13658,2421.47,112,30-11-2011,09-12-2011,9,8,7,9,24,8,Top Customer,,,,
13659,1550.85,108,26-05-2011,09-12-2011,197,7,7,2,16,5,Loyal customer,,,,
13662,879.08,58,15-09-2011,09-12-2011,85,5,5,4,14,4,At Risk/ Need Attention,,,,
13663,189.47,13,13-06-2011,09-12-2011,179,1,1,2,4,0,immediate Attention,,,,
13666,84.65,12,10-10-2011,09-12-2011,60,0,1,5,6,1,At Risk/ Need Attention,,,,
13667,305.02,87,13-07-2011,09-12-2011,149,2,7,3,12,3,At Risk/ Need Attention,,,,
13668,6216.07,501,07-12-2011,09-12-2011,2,9,9,10,28,9,Top Customer,,,,
13669,218.55,9,20-10-2011,09-12-2011,50,1,1,6,8,2,At Risk/ Need Attention,,,,
13670,349.7,25,25-09-2011,09-12-2011,75,3,3,4,10,3,At Risk/ Need Attention,,,,
13672,-71.46,16,11-02-2011,09-12-2011,301,0,2,1,3,0,immediate Attention,,,,
13673,396.92,65,21-11-2011,09-12-2011,18,3,6,8,17,5,Loyal customer,,,,
13675,486.82,25,11-07-2011,09-12-2011,151,4,3,3,10,3,At Risk/ Need Attention,,,,
13678,232.6,16,11-07-2011,09-12-2011,151,1,2,3,6,1,At Risk/ Need Attention,,,,
13680,2202.31,216,08-12-2011,09-12-2011,1,8,9,10,27,9,Top Customer,,,,
13681,827.83,57,22-11-2011,09-12-2011,17,5,5,8,18,6,Loyal customer,,,,
13682,59.5,3,05-06-2011,09-12-2011,187,0,0,2,2,0,immediate Attention,,,,
13684,64.23,31,27-02-2011,09-12-2011,285,0,4,1,5,0,immediate Attention,,,,
13685,3119.44,39,07-12-2011,09-12-2011,2,8,4,10,22,7,Loyal customer,,,,
13686,72,8,10-06-2011,09-12-2011,182,0,1,2,3,0,immediate Attention,,,,
13689,910,6,07-10-2011,09-12-2011,63,6,0,5,11,3,At Risk/ Need Attention,,,,
13690,172.25,9,11-10-2011,09-12-2011,59,1,1,5,7,1,At Risk/ Need Attention,,,,
13692,1466.87,55,15-11-2011,09-12-2011,24,7,5,7,19,6,Loyal customer,,,,
13693,-32,4,18-01-2011,09-12-2011,325,0,0,1,1,0,immediate Attention,,,,
13694,62653.1,585,06-12-2011,09-12-2011,3,9,9,10,28,9,Top Customer,,,,
13695,2504.13,90,08-11-2011,09-12-2011,31,8,7,7,22,7,Loyal customer,,,,
13697,151.3,12,01-11-2011,09-12-2011,38,1,1,6,8,2,At Risk/ Need Attention,,,,
13699,308.58,14,07-07-2011,09-12-2011,155,2,1,3,6,1,At Risk/ Need Attention,,,,
13700,2265.12,197,13-11-2011,09-12-2011,26,8,8,7,23,8,Top Customer,,,,
13703,99.5,1,25-01-2011,09-12-2011,318,0,0,1,1,0,immediate Attention,,,,
13704,2295.31,135,04-12-2011,09-12-2011,5,8,8,9,25,8,Top Customer,,,,
13705,711.86,28,02-12-2011,09-12-2011,7,5,3,9,17,5,Loyal customer,,,,
13706,330.79,20,10-02-2011,09-12-2011,302,2,2,1,5,0,immediate Attention,,,,
13707,806.41,48,17-03-2011,09-12-2011,267,5,5,1,11,3,At Risk/ Need Attention,,,,
13708,296.88,51,13-03-2011,09-12-2011,271,2,5,1,8,2,At Risk/ Need Attention,,,,
13709,6249.11,346,06-12-2011,09-12-2011,3,9,9,10,28,9,Top Customer,,,,
13710,180.48,8,08-11-2011,09-12-2011,31,1,1,7,9,2,At Risk/ Need Attention,,,,
13711,252.06,13,05-05-2011,09-12-2011,218,2,1,2,5,0,immediate Attention,,,,
13712,228.84,10,07-04-2011,09-12-2011,246,1,1,2,4,0,immediate Attention,,,,
13715,1053.94,108,03-03-2011,09-12-2011,281,6,7,1,14,4,At Risk/ Need Attention,,,,
13716,138.28,21,15-03-2011,09-12-2011,269,0,2,1,3,0,immediate Attention,,,,
13717,1432.26,103,07-11-2011,09-12-2011,32,7,7,6,20,7,Loyal customer,,,,
13718,306.55,12,07-04-2011,09-12-2011,246,2,1,2,5,0,immediate Attention,,,,
13719,1041.68,60,24-11-2011,09-12-2011,15,6,6,8,20,7,Loyal customer,,,,
13720,799.9,43,15-08-2011,09-12-2011,116,5,5,3,13,4,At Risk/ Need Attention,,,,
13721,524.14,28,03-11-2011,09-12-2011,36,4,3,6,13,4,At Risk/ Need Attention,,,,
13722,2369.16,86,11-08-2011,09-12-2011,120,8,7,3,18,6,Loyal customer,,,,
13723,199.85,6,06-05-2011,09-12-2011,217,1,0,2,3,0,immediate Attention,,,,
13725,1809.81,118,21-10-2011,09-12-2011,49,7,7,6,20,7,Loyal customer,,,,
13726,1079.66,42,01-11-2011,09-12-2011,38,6,4,6,16,5,Loyal customer,,,,
13727,333.48,20,11-11-2011,09-12-2011,28,2,2,7,11,3,At Risk/ Need Attention,,,,
13728,1016.14,63,03-11-2011,09-12-2011,36,6,6,6,18,6,Loyal customer,,,,
13730,752.6,43,27-07-2011,09-12-2011,135,5,5,3,13,4,At Risk/ Need Attention,,,,
13731,610.59,38,04-05-2011,09-12-2011,219,4,4,2,10,3,At Risk/ Need Attention,,,,
13732,491.86,33,11-11-2011,09-12-2011,28,4,4,7,15,5,Loyal customer,,,,
13735,2766.18,208,15-11-2011,09-12-2011,24,8,8,7,23,8,Top Customer,,,,
13736,724,194,04-12-2011,09-12-2011,5,5,8,9,22,7,Loyal customer,,,,
13737,339.6,30,23-05-2011,09-12-2011,200,3,4,2,9,2,At Risk/ Need Attention,,,,
13739,216.9,3,21-11-2011,09-12-2011,18,1,0,8,9,2,At Risk/ Need Attention,,,,
13740,350.75,23,13-04-2011,09-12-2011,240,3,3,2,8,2,At Risk/ Need Attention,,,,
13741,666.33,35,29-09-2011,09-12-2011,71,5,4,5,14,4,At Risk/ Need Attention,,,,
13742,3102.42,323,23-11-2011,09-12-2011,16,8,9,8,25,8,Top Customer,,,,
13743,1340.15,42,07-12-2011,09-12-2011,2,7,4,10,21,7,Loyal customer,,,,
13744,1156.36,72,05-09-2011,09-12-2011,95,6,6,4,16,5,Loyal customer,,,,
13745,291.54,26,11-07-2011,09-12-2011,151,2,3,3,8,2,At Risk/ Need Attention,,,,
13747,79.6,1,01-12-2010,09-12-2011,373,0,0,1,1,0,immediate Attention,,,,
13748,948.25,28,05-09-2011,09-12-2011,95,6,3,4,13,4,At Risk/ Need Attention,,,,
13750,1647.26,24,17-10-2011,09-12-2011,53,7,3,5,15,5,Loyal customer,,,,
13751,296.25,9,24-02-2011,09-12-2011,288,2,1,1,4,0,immediate Attention,,,,
13752,1186.28,76,07-08-2011,09-12-2011,124,6,6,3,15,5,Loyal customer,,,,
